,run_time,wait_time,submit_time,gpu_num
557,29,0,1505959550,1
558,169,0,1505959550,1
559,29,0,1505959550,1
560,124,0,1505959550,1
561,2131355,0,1505959556,1
562,29,0,1505959556,1
563,129,0,1505959556,1
564,15,0,1505959556,1
565,129,0,1505959556,1
566,2131127,0,1505959563,1
567,208,0,1505959563,1
568,29,0,1505959563,1
569,209,0,1505959563,1
570,11,0,1505959563,1
571,31,0,1505959570,1
572,2131132,0,1505959570,1
573,113,0,1505959570,1
574,21,0,1505959570,1
575,159,0,1505959570,1
576,2100449,0,1505959577,1
577,1874549,0,1505959584,1
578,257218,0,1505959584,1
579,186,0,1505959584,1
580,29,0,1505959584,1
581,11,0,1505959584,1
582,2131253,0,1505959591,1
583,156,0,1505959591,1
584,185,0,1505959591,1
585,21,0,1505959591,1
586,14,0,1505959591,1
587,2131155,0,1505959598,1
588,151,0,1505959598,1
589,29,0,1505959598,1
590,21,0,1505959598,1
591,9,0,1505959598,1
592,2131326,0,1505959604,1
593,179,0,1505959604,1
594,28,0,1505959604,1
595,14,0,1505959604,1
596,176,0,1505959604,1
597,2131208,0,1505959610,1
598,143,0,1505959610,1
599,22,0,1505959610,1
600,14,0,1505959610,1
601,9,0,1505959610,1
602,1902664,0,1505959617,1
603,229344,0,1505959617,1
604,22,0,1505959617,1
605,14,0,1505959617,1
606,15,0,1505959617,1
607,9,0,1505959617,1
608,608732,0,1505959623,1
609,1522513,0,1505959623,1
610,148,0,1505959623,1
611,29,0,1505959623,1
612,8,0,1505959623,1
613,348,0,1505959629,1
614,352080,0,1505959629,1
615,1777994,0,1505959629,1
616,50,0,1505959629,1
617,193,0,1505959629,1
618,2131075,0,1505959637,1
619,85,0,1505959637,1
620,22,0,1505959637,1
621,14,0,1505959637,1
622,14,0,1505959637,1
623,608731,0,1505959645,1
624,704873,0,1505959645,1
625,817605,0,1505959645,1
626,208,0,1505959645,1
627,169,0,1505959645,1
628,608739,0,1505959651,1
629,1522520,0,1505959651,1
630,30,0,1505959651,1
631,21,0,1505959651,1
632,18,0,1505959651,1
633,14410,0,1505965459,2
634,14406,0,1505965459,2
635,14405,0,1505965459,2
636,1516542,0,1505965459,2
637,565,0,1505965459,2
638,676912,0,1505978221,1
639,1731213,0,1505978221,1
640,197542,0,1505978221,1
641,1569896,0,1505978287,1
642,1106514,0,1505990298,4
643,801510,0,1505990755,1
644,57996,0,1505994430,8
645,270988,0,1505994430,8
646,350002,0,1505994430,8
647,318998,0,1505994430,8
648,771324,0,1505995949,8
649,562951,0,1506005742,1
650,342756,0,1506005742,1
651,49163,0,1506012271,1
652,2933413,0,1506012271,1
653,427,0,1506012271,1
654,215,0,1506012271,1
655,494,0,1506012271,1
656,2002238,0,1506012295,1
657,545169,0,1506023851,8
658,98076,0,1506023851,8
659,854579,0,1506024604,8
660,1128636,0,1506024608,8
661,1578949,0,1506024809,1
662,527723,0,1506024809,1
663,279176,0,1506027612,1
664,697394,0,1506027612,1
665,1917595,0,1506035382,1
666,304750,0,1506046250,8
667,1203846,0,1506046250,8
668,1027759,0,1506052071,1
669,1228648,0,1506067139,8
670,491442,0,1506077278,4
671,534466,0,1506077278,4
672,327979,0,1506086447,8
673,2042115,0,1506114477,1
674,1976072,0,1506114478,1
675,1254685,0,1506116002,1
676,1973049,0,1506117850,1
677,1972686,0,1506117852,1
678,1972678,0,1506117937,1
679,1973270,0,1506118066,1
680,575169,0,1506118669,4
681,842781,0,1506118951,4
682,538800,0,1506125422,4
683,951546,0,1506128309,1
684,951515,0,1506128341,1
685,1961693,0,1506129317,1
686,575663,0,1506130554,8
687,595579,0,1506130802,8
688,510603,0,1506131542,8
689,103080,0,1506131542,8
690,899,0,1506131542,8
691,268496,0,1506131542,8
692,91595,0,1506131542,8
693,851693,0,1506131849,8
694,69975,0,1506132203,16
695,587904,0,1506132203,16
696,523241,0,1506134007,1
697,14407,0,1506134999,2
698,14409,0,1506134999,2
699,1789151,0,1506134999,2
700,71,0,1506135049,16
701,57,0,1506135049,16
702,155647,0,1506135049,16
703,80521,0,1506135049,16
704,374564,0,1506135049,16
705,522071,0,1506135205,1
706,450304,0,1506136143,8
707,163831,0,1506136143,8
708,121588,0,1506136387,16
709,290895,0,1506136387,16
710,191923,0,1506136387,16
711,17971,0,1506136387,16
712,851472,0,1506142439,8
713,1868684,0,1506144412,1
714,1418915,0,1506150814,1
715,443336,0,1506150814,1
716,1855599,0,1506157137,1
717,1513646,0,1506174342,1
718,916557,0,1506175522,1
719,840230,0,1506175522,1
720,505166,0,1506182729,8
721,1829125,0,1506183906,1
722,453676,0,1506206438,16
723,110354,0,1506206610,16
724,509,0,1506206610,16
725,360319,0,1506206610,16
726,505681,0,1506206774,16
727,219,0,1506206933,16
728,69682,0,1506206933,16
729,408111,0,1506206933,16
730,44649,0,1506206933,16
731,392860,0,1506207364,8
732,9687,0,1506207364,8
733,6236,0,1506207364,8
734,246930,0,1506207364,8
735,577252,0,1506207522,8
736,195998,0,1506207678,8
737,1016182,0,1506207836,8
738,220,0,1506212593,16
739,438692,0,1506212593,16
740,446126,0,1506212756,16
741,273568,0,1506212914,16
742,237670,0,1506212914,16
743,48226,0,1506213067,16
744,456308,0,1506213067,16
745,572827,0,1506213222,8
746,126766,0,1506213376,8
747,14400,0,1506213376,8
748,454176,0,1506213376,8
749,361,0,1506213530,8
750,695527,0,1506213530,8
751,670069,0,1506213681,8
752,14402,0,1506233489,8
753,44509,0,1506233489,8
754,735058,0,1506233489,8
755,149257,0,1506233489,8
756,14405,0,1506233788,8
757,261173,0,1506233788,8
758,153853,0,1506233788,8
759,14410,0,1506241496,2
760,1937015,0,1506241496,2
761,495906,0,1506246928,4
762,1296489,0,1506246928,4
763,1952722,0,1506269681,1
764,524000,0,1506275976,1
765,210528,0,1506276019,1
766,156464,0,1506276019,1
767,166703,0,1506276019,1
768,565990,0,1506276045,1
769,574145,0,1506276065,1
770,177,0,1506276094,1
771,178,0,1506276101,1
772,171,0,1506276108,1
773,224,0,1506276115,1
774,116,0,1506276115,1
775,79,0,1506276116,1
776,212,0,1506276118,1
777,118,0,1506276120,1
